                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
 1627:   60:-       |  60:-       |  56:addi    |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
 1628:   60:-       |  60:-       |  60:-       |  56:addi    |  56:-       BUS_LOAD  MEM[56] accepted 1
 1629:   60:-       |  60:-       |  60:-       |  60:-       |  56:addi    r17=25  BUS_LOAD  MEM[56] accepted 1
 1630:   60:addi    |  60:-       |  60:-       |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
 1631:   64:-       |  60:addi    |  60:-       |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
 1632:   64:-       |  64:-       |  60:addi    |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
 1633:   64:-       |  64:-       |  64:-       |  60:addi    |  60:-       BUS_LOAD  MEM[56] accepted 1
 1634:   64:-       |  64:-       |  64:-       |  64:-       |  60:addi    r3=125000  BUS_LOAD  MEM[56] accepted 1
 1635:   64:slti    |  64:-       |  64:-       |  64:-       |  64:-       BUS_LOAD  MEM[56] accepted 1
 1636:   68:-       |  64:slti    |  64:-       |  64:-       |  64:-       BUS_LOAD  MEM[64] accepted 1
 1637:   68:-       |  68:-       |  64:slti    |  64:-       |  64:-       BUS_LOAD  MEM[64] accepted 1
 1638:   68:-       |  68:-       |  68:-       |  64:slti    |  64:-       BUS_LOAD  MEM[64] accepted 1
 1639:   68:-       |  68:-       |  68:-       |  68:-       |  64:slti    r2=1  BUS_LOAD  MEM[64] accepted 1
 1640:   68:bne     |  68:-       |  68:-       |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
 1641:   72:-       |  68:bne     |  68:-       |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
 1642:   72:-       |  72:-       |  68:bne     |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
 1643:   72:-       |  72:-       |  72:-       |  68:bne     |  68:-       BUS_LOAD  MEM[64] accepted 1
 1644:   20:-       |  72:-       |  72:-       |  72:-       |  68:bne     BUS_LOAD  MEM[16] accepted 1
 1645:   20:add     |  20:-       |  72:-       |  72:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
 1646:   24:-       |  20:add     |  20:-       |  72:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
 1647:   24:-       |  24:-       |  20:add     |  20:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
 1648:   24:-       |  24:-       |  24:-       |  20:add     |  20:-       BUS_LOAD  MEM[16] accepted 1
 1649:   24:-       |  24:-       |  24:-       |  24:-       |  20:add     r6=250000  BUS_LOAD  MEM[16] accepted 1
 1650:   24:add     |  24:-       |  24:-       |  24:-       |  24:-       BUS_LOAD  MEM[16] accepted 1
 1651:   28:-       |  24:add     |  24:-       |  24:-       |  24:-       BUS_LOAD  MEM[24] accepted 1
 1652:   28:-       |  28:-       |  24:add     |  24:-       |  24:-       BUS_LOAD  MEM[24] accepted 1
 1653:   28:-       |  28:-       |  28:-       |  24:add     |  24:-       BUS_LOAD  MEM[24] accepted 1
 1654:   28:-       |  28:-       |  28:-       |  28:-       |  24:add     r9=250000  BUS_LOAD  MEM[24] accepted 1
 1655:   28:add     |  28:-       |  28:-       |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
 1656:   32:-       |  28:add     |  28:-       |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
 1657:   32:-       |  32:-       |  28:add     |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
 1658:   32:-       |  32:-       |  32:-       |  28:add     |  28:-       BUS_LOAD  MEM[24] accepted 1
 1659:   32:-       |  32:-       |  32:-       |  32:-       |  28:add     r8=250000  BUS_LOAD  MEM[24] accepted 1
 1660:   32:mulhsu  |  32:-       |  32:-       |  32:-       |  32:-       BUS_LOAD  MEM[24] accepted 1
 1661:   36:-       |  32:mulhsu  |  32:-       |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
 1662:   36:-       |  36:-       |  32:mulhsu  |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
 1663:   36:-       |  36:-       |  36:-       |  32:mulhsu  |  32:-       BUS_LOAD  MEM[32] accepted 1
 1664:   36:-       |  36:-       |  36:-       |  36:-       |  32:mulhsu  r5=3  BUS_LOAD  MEM[32] accepted 1
 1665:   36:mul     |  36:-       |  36:-       |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
 1666:   40:-       |  36:mul     |  36:-       |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
 1667:   40:-       |  40:-       |  36:mul     |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
 1668:   40:-       |  40:-       |  40:-       |  36:mul     |  36:-       BUS_LOAD  MEM[32] accepted 1
 1669:   40:-       |  40:-       |  40:-       |  40:-       |  36:mul     r7=750000  BUS_LOAD  MEM[32] accepted 1
 1670:   40:mulh    |  40:-       |  40:-       |  40:-       |  40:-       BUS_LOAD  MEM[32] accepted 1
 1671:   44:-       |  40:mulh    |  40:-       |  40:-       |  40:-       BUS_LOAD  MEM[40] accepted 1
 1672:   44:-       |  44:-       |  40:mulh    |  40:-       |  40:-       BUS_LOAD  MEM[40] accepted 1
 1673:   44:-       |  44:-       |  44:-       |  40:mulh    |  40:-       BUS_LOAD  MEM[40] accepted 1
 1674:   44:-       |  44:-       |  44:-       |  44:-       |  40:mulh    r10=14  BUS_LOAD  MEM[40] accepted 1
 1675:   44:mulhu   |  44:-       |  44:-       |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
 1676:   48:-       |  44:mulhu   |  44:-       |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
 1677:   48:-       |  48:-       |  44:mulhu   |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
 1678:   48:-       |  48:-       |  48:-       |  44:mulhu   |  44:-       BUS_LOAD  MEM[40] accepted 1
 1679:   48:-       |  48:-       |  48:-       |  48:-       |  44:mulhu   r11=0  BUS_LOAD  MEM[40] accepted 1
 1680:   48:sw      |  48:-       |  48:-       |  48:-       |  48:-       BUS_LOAD  MEM[40] accepted 1
 1681:   52:-       |  48:sw      |  48:-       |  48:-       |  48:-       BUS_LOAD  MEM[48] accepted 1
 1682:   52:-       |  52:-       |  48:sw      |  48:-       |  48:-       BUS_LOAD  MEM[48] accepted 1
 1683:   52:-       |  52:-       |  52:-       |  48:sw      |  48:-       BUS_STORE MEM[4296] = 0 accepted 1
 1684:   52:-       |  52:-       |  52:-       |  52:-       |  48:sw      BUS_LOAD  MEM[48] accepted 1
 1685:   52:addi    |  52:-       |  52:-       |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
 1686:   56:-       |  52:addi    |  52:-       |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
 1687:   56:-       |  56:-       |  52:addi    |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
 1688:   56:-       |  56:-       |  56:-       |  52:addi    |  52:-       BUS_LOAD  MEM[48] accepted 1
 1689:   56:-       |  56:-       |  56:-       |  56:-       |  52:addi    r4=4304  BUS_LOAD  MEM[48] accepted 1
 1690:   56:addi    |  56:-       |  56:-       |  56:-       |  56:-       BUS_LOAD  MEM[48] accepted 1
 1691:   60:-       |  56:addi    |  56:-       |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
 1692:   60:-       |  60:-       |  56:addi    |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
 1693:   60:-       |  60:-       |  60:-       |  56:addi    |  56:-       BUS_LOAD  MEM[56] accepted 1
 1694:   60:-       |  60:-       |  60:-       |  60:-       |  56:addi    r17=26  BUS_LOAD  MEM[56] accepted 1
 1695:   60:addi    |  60:-       |  60:-       |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
 1696:   64:-       |  60:addi    |  60:-       |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
 1697:   64:-       |  64:-       |  60:addi    |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
 1698:   64:-       |  64:-       |  64:-       |  60:addi    |  60:-       BUS_LOAD  MEM[56] accepted 1
 1699:   64:-       |  64:-       |  64:-       |  64:-       |  60:addi    r3=126000  BUS_LOAD  MEM[56] accepted 1
 1700:   64:slti    |  64:-       |  64:-       |  64:-       |  64:-       BUS_LOAD  MEM[56] accepted 1
 1701:   68:-       |  64:slti    |  64:-       |  64:-       |  64:-       BUS_LOAD  MEM[64] accepted 1
 1702:   68:-       |  68:-       |  64:slti    |  64:-       |  64:-       BUS_LOAD  MEM[64] accepted 1
 1703:   68:-       |  68:-       |  68:-       |  64:slti    |  64:-       BUS_LOAD  MEM[64] accepted 1
 1704:   68:-       |  68:-       |  68:-       |  68:-       |  64:slti    r2=1  BUS_LOAD  MEM[64] accepted 1
 1705:   68:bne     |  68:-       |  68:-       |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
 1706:   72:-       |  68:bne     |  68:-       |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
 1707:   72:-       |  72:-       |  68:bne     |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
 1708:   72:-       |  72:-       |  72:-       |  68:bne     |  68:-       BUS_LOAD  MEM[64] accepted 1
 1709:   20:-       |  72:-       |  72:-       |  72:-       |  68:bne     BUS_LOAD  MEM[16] accepted 1
 1710:   20:add     |  20:-       |  72:-       |  72:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
 1711:   24:-       |  20:add     |  20:-       |  72:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
 1712:   24:-       |  24:-       |  20:add     |  20:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
 1713:   24:-       |  24:-       |  24:-       |  20:add     |  20:-       BUS_LOAD  MEM[16] accepted 1
 1714:   24:-       |  24:-       |  24:-       |  24:-       |  20:add     r6=252000  BUS_LOAD  MEM[16] accepted 1
 1715:   24:add     |  24:-       |  24:-       |  24:-       |  24:-       BUS_LOAD  MEM[16] accepted 1
 1716:   28:-       |  24:add     |  24:-       |  24:-       |  24:-       BUS_LOAD  MEM[24] accepted 1
 1717:   28:-       |  28:-       |  24:add     |  24:-       |  24:-       BUS_LOAD  MEM[24] accepted 1
 1718:   28:-       |  28:-       |  28:-       |  24:add     |  24:-       BUS_LOAD  MEM[24] accepted 1
 1719:   28:-       |  28:-       |  28:-       |  28:-       |  24:add     r9=252000  BUS_LOAD  MEM[24] accepted 1
 1720:   28:add     |  28:-       |  28:-       |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
 1721:   32:-       |  28:add     |  28:-       |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
 1722:   32:-       |  32:-       |  28:add     |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
 1723:   32:-       |  32:-       |  32:-       |  28:add     |  28:-       BUS_LOAD  MEM[24] accepted 1
 1724:   32:-       |  32:-       |  32:-       |  32:-       |  28:add     r8=252000  BUS_LOAD  MEM[24] accepted 1
 1725:   32:mulhsu  |  32:-       |  32:-       |  32:-       |  32:-       BUS_LOAD  MEM[24] accepted 1
 1726:   36:-       |  32:mulhsu  |  32:-       |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
 1727:   36:-       |  36:-       |  32:mulhsu  |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
 1728:   36:-       |  36:-       |  36:-       |  32:mulhsu  |  32:-       BUS_LOAD  MEM[32] accepted 1
 1729:   36:-       |  36:-       |  36:-       |  36:-       |  32:mulhsu  r5=3  BUS_LOAD  MEM[32] accepted 1
 1730:   36:mul     |  36:-       |  36:-       |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
 1731:   40:-       |  36:mul     |  36:-       |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
 1732:   40:-       |  40:-       |  36:mul     |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
 1733:   40:-       |  40:-       |  40:-       |  36:mul     |  36:-       BUS_LOAD  MEM[32] accepted 1
 1734:   40:-       |  40:-       |  40:-       |  40:-       |  36:mul     r7=756000  BUS_LOAD  MEM[32] accepted 1
 1735:   40:mulh    |  40:-       |  40:-       |  40:-       |  40:-       BUS_LOAD  MEM[32] accepted 1
 1736:   44:-       |  40:mulh    |  40:-       |  40:-       |  40:-       BUS_LOAD  MEM[40] accepted 1
 1737:   44:-       |  44:-       |  40:mulh    |  40:-       |  40:-       BUS_LOAD  MEM[40] accepted 1
 1738:   44:-       |  44:-       |  44:-       |  40:mulh    |  40:-       BUS_LOAD  MEM[40] accepted 1
 1739:   44:-       |  44:-       |  44:-       |  44:-       |  40:mulh    r10=14  BUS_LOAD  MEM[40] accepted 1
 1740:   44:mulhu   |  44:-       |  44:-       |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
 1741:   48:-       |  44:mulhu   |  44:-       |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
 1742:   48:-       |  48:-       |  44:mulhu   |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
 1743:   48:-       |  48:-       |  48:-       |  44:mulhu   |  44:-       BUS_LOAD  MEM[40] accepted 1
 1744:   48:-       |  48:-       |  48:-       |  48:-       |  44:mulhu   r11=0  BUS_LOAD  MEM[40] accepted 1
 1745:   48:sw      |  48:-       |  48:-       |  48:-       |  48:-       BUS_LOAD  MEM[40] accepted 1
 1746:   52:-       |  48:sw      |  48:-       |  48:-       |  48:-       BUS_LOAD  MEM[48] accepted 1
 1747:   52:-       |  52:-       |  48:sw      |  48:-       |  48:-       BUS_LOAD  MEM[48] accepted 1
 1748:   52:-       |  52:-       |  52:-       |  48:sw      |  48:-       BUS_STORE MEM[4304] = 0 accepted 1
 1749:   52:-       |  52:-       |  52:-       |  52:-       |  48:sw      BUS_LOAD  MEM[48] accepted 1
 1750:   52:addi    |  52:-       |  52:-       |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
 1751:   56:-       |  52:addi    |  52:-       |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
 1752:   56:-       |  56:-       |  52:addi    |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
 1753:   56:-       |  56:-       |  56:-       |  52:addi    |  52:-       BUS_LOAD  MEM[48] accepted 1
 1754:   56:-       |  56:-       |  56:-       |  56:-       |  52:addi    r4=4312  BUS_LOAD  MEM[48] accepted 1
 1755:   56:addi    |  56:-       |  56:-       |  56:-       |  56:-       BUS_LOAD  MEM[48] accepted 1
 1756:   60:-       |  56:addi    |  56:-       |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
 1757:   60:-       |  60:-       |  56:addi    |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
 1758:   60:-       |  60:-       |  60:-       |  56:addi    |  56:-       BUS_LOAD  MEM[56] accepted 1
 1759:   60:-       |  60:-       |  60:-       |  60:-       |  56:addi    r17=27  BUS_LOAD  MEM[56] accepted 1
 1760:   60:addi    |  60:-       |  60:-       |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
 1761:   64:-       |  60:addi    |  60:-       |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
 1762:   64:-       |  64:-       |  60:addi    |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
 1763:   64:-       |  64:-       |  64:-       |  60:addi    |  60:-       BUS_LOAD  MEM[56] accepted 1
 1764:   64:-       |  64:-       |  64:-       |  64:-       |  60:addi    r3=127000  BUS_LOAD  MEM[56] accepted 1
 1765:   64:slti    |  64:-       |  64:-       |  64:-       |  64:-       BUS_LOAD  MEM[56] accepted 1
 1766:   68:-       |  64:slti    |  64:-       |  64:-       |  64:-       BUS_LOAD  MEM[64] accepted 1
 1767:   68:-       |  68:-       |  64:slti    |  64:-       |  64:-       BUS_LOAD  MEM[64] accepted 1
 1768:   68:-       |  68:-       |  68:-       |  64:slti    |  64:-       BUS_LOAD  MEM[64] accepted 1
 1769:   68:-       |  68:-       |  68:-       |  68:-       |  64:slti    r2=1  BUS_LOAD  MEM[64] accepted 1
 1770:   68:bne     |  68:-       |  68:-       |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
 1771:   72:-       |  68:bne     |  68:-       |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
 1772:   72:-       |  72:-       |  68:bne     |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
 1773:   72:-       |  72:-       |  72:-       |  68:bne     |  68:-       BUS_LOAD  MEM[64] accepted 1
 1774:   20:-       |  72:-       |  72:-       |  72:-       |  68:bne     BUS_LOAD  MEM[16] accepted 1
 1775:   20:add     |  20:-       |  72:-       |  72:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
 1776:   24:-       |  20:add     |  20:-       |  72:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
 1777:   24:-       |  24:-       |  20:add     |  20:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
 1778:   24:-       |  24:-       |  24:-       |  20:add     |  20:-       BUS_LOAD  MEM[16] accepted 1
 1779:   24:-       |  24:-       |  24:-       |  24:-       |  20:add     r6=254000  BUS_LOAD  MEM[16] accepted 1
 1780:   24:add     |  24:-       |  24:-       |  24:-       |  24:-       BUS_LOAD  MEM[16] accepted 1
 1781:   28:-       |  24:add     |  24:-       |  24:-       |  24:-       BUS_LOAD  MEM[24] accepted 1
 1782:   28:-       |  28:-       |  24:add     |  24:-       |  24:-       BUS_LOAD  MEM[24] accepted 1
 1783:   28:-       |  28:-       |  28:-       |  24:add     |  24:-       BUS_LOAD  MEM[24] accepted 1
 1784:   28:-       |  28:-       |  28:-       |  28:-       |  24:add     r9=254000  BUS_LOAD  MEM[24] accepted 1
 1785:   28:add     |  28:-       |  28:-       |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
 1786:   32:-       |  28:add     |  28:-       |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
 1787:   32:-       |  32:-       |  28:add     |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
 1788:   32:-       |  32:-       |  32:-       |  28:add     |  28:-       BUS_LOAD  MEM[24] accepted 1
 1789:   32:-       |  32:-       |  32:-       |  32:-       |  28:add     r8=254000  BUS_LOAD  MEM[24] accepted 1
 1790:   32:mulhsu  |  32:-       |  32:-       |  32:-       |  32:-       BUS_LOAD  MEM[24] accepted 1
 1791:   36:-       |  32:mulhsu  |  32:-       |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
 1792:   36:-       |  36:-       |  32:mulhsu  |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
 1793:   36:-       |  36:-       |  36:-       |  32:mulhsu  |  32:-       BUS_LOAD  MEM[32] accepted 1
 1794:   36:-       |  36:-       |  36:-       |  36:-       |  32:mulhsu  r5=3  BUS_LOAD  MEM[32] accepted 1
 1795:   36:mul     |  36:-       |  36:-       |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
 1796:   40:-       |  36:mul     |  36:-       |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
 1797:   40:-       |  40:-       |  36:mul     |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
 1798:   40:-       |  40:-       |  40:-       |  36:mul     |  36:-       BUS_LOAD  MEM[32] accepted 1
 1799:   40:-       |  40:-       |  40:-       |  40:-       |  36:mul     r7=762000  BUS_LOAD  MEM[32] accepted 1
 1800:   40:mulh    |  40:-       |  40:-       |  40:-       |  40:-       BUS_LOAD  MEM[32] accepted 1
 1801:   44:-       |  40:mulh    |  40:-       |  40:-       |  40:-       BUS_LOAD  MEM[40] accepted 1
 1802:   44:-       |  44:-       |  40:mulh    |  40:-       |  40:-       BUS_LOAD  MEM[40] accepted 1
 1803:   44:-       |  44:-       |  44:-       |  40:mulh    |  40:-       BUS_LOAD  MEM[40] accepted 1
 1804:   44:-       |  44:-       |  44:-       |  44:-       |  40:mulh    r10=15  BUS_LOAD  MEM[40] accepted 1
 1805:   44:mulhu   |  44:-       |  44:-       |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
 1806:   48:-       |  44:mulhu   |  44:-       |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
 1807:   48:-       |  48:-       |  44:mulhu   |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
 1808:   48:-       |  48:-       |  48:-       |  44:mulhu   |  44:-       BUS_LOAD  MEM[40] accepted 1
 1809:   48:-       |  48:-       |  48:-       |  48:-       |  44:mulhu   r11=0  BUS_LOAD  MEM[40] accepted 1
 1810:   48:sw      |  48:-       |  48:-       |  48:-       |  48:-       BUS_LOAD  MEM[40] accepted 1
 1811:   52:-       |  48:sw      |  48:-       |  48:-       |  48:-       BUS_LOAD  MEM[48] accepted 1
 1812:   52:-       |  52:-       |  48:sw      |  48:-       |  48:-       BUS_LOAD  MEM[48] accepted 1
 1813:   52:-       |  52:-       |  52:-       |  48:sw      |  48:-       BUS_STORE MEM[4312] = 0 accepted 1
 1814:   52:-       |  52:-       |  52:-       |  52:-       |  48:sw      BUS_LOAD  MEM[48] accepted 1
 1815:   52:addi    |  52:-       |  52:-       |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
 1816:   56:-       |  52:addi    |  52:-       |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
 1817:   56:-       |  56:-       |  52:addi    |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
 1818:   56:-       |  56:-       |  56:-       |  52:addi    |  52:-       BUS_LOAD  MEM[48] accepted 1
 1819:   56:-       |  56:-       |  56:-       |  56:-       |  52:addi    r4=4320  BUS_LOAD  MEM[48] accepted 1
 1820:   56:addi    |  56:-       |  56:-       |  56:-       |  56:-       BUS_LOAD  MEM[48] accepted 1
 1821:   60:-       |  56:addi    |  56:-       |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
 1822:   60:-       |  60:-       |  56:addi    |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
 1823:   60:-       |  60:-       |  60:-       |  56:addi    |  56:-       BUS_LOAD  MEM[56] accepted 1
 1824:   60:-       |  60:-       |  60:-       |  60:-       |  56:addi    r17=28  BUS_LOAD  MEM[56] accepted 1
 1825:   60:addi    |  60:-       |  60:-       |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
 1826:   64:-       |  60:addi    |  60:-       |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
 1827:   64:-       |  64:-       |  60:addi    |  60:-       |  60:-       BUS_LOAD  MEM[56] accepted 1
 1828:   64:-       |  64:-       |  64:-       |  60:addi    |  60:-       BUS_LOAD  MEM[56] accepted 1
 1829:   64:-       |  64:-       |  64:-       |  64:-       |  60:addi    r3=128000  BUS_LOAD  MEM[56] accepted 1
 1830:   64:slti    |  64:-       |  64:-       |  64:-       |  64:-       BUS_LOAD  MEM[56] accepted 1
 1831:   68:-       |  64:slti    |  64:-       |  64:-       |  64:-       BUS_LOAD  MEM[64] accepted 1
 1832:   68:-       |  68:-       |  64:slti    |  64:-       |  64:-       BUS_LOAD  MEM[64] accepted 1
 1833:   68:-       |  68:-       |  68:-       |  64:slti    |  64:-       BUS_LOAD  MEM[64] accepted 1
 1834:   68:-       |  68:-       |  68:-       |  68:-       |  64:slti    r2=1  BUS_LOAD  MEM[64] accepted 1
 1835:   68:bne     |  68:-       |  68:-       |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
 1836:   72:-       |  68:bne     |  68:-       |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
 1837:   72:-       |  72:-       |  68:bne     |  68:-       |  68:-       BUS_LOAD  MEM[64] accepted 1
 1838:   72:-       |  72:-       |  72:-       |  68:bne     |  68:-       BUS_LOAD  MEM[64] accepted 1
 1839:   20:-       |  72:-       |  72:-       |  72:-       |  68:bne     BUS_LOAD  MEM[16] accepted 1
 1840:   20:add     |  20:-       |  72:-       |  72:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
 1841:   24:-       |  20:add     |  20:-       |  72:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
 1842:   24:-       |  24:-       |  20:add     |  20:-       |  72:-       BUS_LOAD  MEM[16] accepted 1
 1843:   24:-       |  24:-       |  24:-       |  20:add     |  20:-       BUS_LOAD  MEM[16] accepted 1
 1844:   24:-       |  24:-       |  24:-       |  24:-       |  20:add     r6=256000  BUS_LOAD  MEM[16] accepted 1
 1845:   24:add     |  24:-       |  24:-       |  24:-       |  24:-       BUS_LOAD  MEM[16] accepted 1
 1846:   28:-       |  24:add     |  24:-       |  24:-       |  24:-       BUS_LOAD  MEM[24] accepted 1
 1847:   28:-       |  28:-       |  24:add     |  24:-       |  24:-       BUS_LOAD  MEM[24] accepted 1
 1848:   28:-       |  28:-       |  28:-       |  24:add     |  24:-       BUS_LOAD  MEM[24] accepted 1
 1849:   28:-       |  28:-       |  28:-       |  28:-       |  24:add     r9=256000  BUS_LOAD  MEM[24] accepted 1
 1850:   28:add     |  28:-       |  28:-       |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
 1851:   32:-       |  28:add     |  28:-       |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
 1852:   32:-       |  32:-       |  28:add     |  28:-       |  28:-       BUS_LOAD  MEM[24] accepted 1
 1853:   32:-       |  32:-       |  32:-       |  28:add     |  28:-       BUS_LOAD  MEM[24] accepted 1
 1854:   32:-       |  32:-       |  32:-       |  32:-       |  28:add     r8=256000  BUS_LOAD  MEM[24] accepted 1
 1855:   32:mulhsu  |  32:-       |  32:-       |  32:-       |  32:-       BUS_LOAD  MEM[24] accepted 1
 1856:   36:-       |  32:mulhsu  |  32:-       |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
 1857:   36:-       |  36:-       |  32:mulhsu  |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
 1858:   36:-       |  36:-       |  36:-       |  32:mulhsu  |  32:-       BUS_LOAD  MEM[32] accepted 1
 1859:   36:-       |  36:-       |  36:-       |  36:-       |  32:mulhsu  r5=3  BUS_LOAD  MEM[32] accepted 1
 1860:   36:mul     |  36:-       |  36:-       |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
 1861:   40:-       |  36:mul     |  36:-       |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
 1862:   40:-       |  40:-       |  36:mul     |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
 1863:   40:-       |  40:-       |  40:-       |  36:mul     |  36:-       BUS_LOAD  MEM[32] accepted 1
 1864:   40:-       |  40:-       |  40:-       |  40:-       |  36:mul     r7=768000  BUS_LOAD  MEM[32] accepted 1
 1865:   40:mulh    |  40:-       |  40:-       |  40:-       |  40:-       BUS_LOAD  MEM[32] accepted 1
 1866:   44:-       |  40:mulh    |  40:-       |  40:-       |  40:-       BUS_LOAD  MEM[40] accepted 1
 1867:   44:-       |  44:-       |  40:mulh    |  40:-       |  40:-       BUS_LOAD  MEM[40] accepted 1
 1868:   44:-       |  44:-       |  44:-       |  40:mulh    |  40:-       BUS_LOAD  MEM[40] accepted 1
 1869:   44:-       |  44:-       |  44:-       |  44:-       |  40:mulh    r10=15  BUS_LOAD  MEM[40] accepted 1
 1870:   44:mulhu   |  44:-       |  44:-       |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
 1871:   48:-       |  44:mulhu   |  44:-       |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
 1872:   48:-       |  48:-       |  44:mulhu   |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
 1873:   48:-       |  48:-       |  48:-       |  44:mulhu   |  44:-       BUS_LOAD  MEM[40] accepted 1
 1874:   48:-       |  48:-       |  48:-       |  48:-       |  44:mulhu   r11=0  BUS_LOAD  MEM[40] accepted 1
