N, ROB, RS, CPI
1, 29, 13, 2.636042
1, 29, 14, 2.586572
1, 29, 15, 2.586572
1, 29, 16, 2.639576
1, 29, 17, 2.586572
1, 29, 18, 2.586572
1, 29, 19, 2.636042
1, 29, 20, 2.586572
1, 29, 21, 2.586572
1, 29, 22, 2.586572
1, 29, 23, 2.586572
1, 29, 24, 2.586572
1, 29, 25, 2.586572
1, 29, 26, 2.586572
1, 29, 27, 2.586572
1, 29, 28, 2.586572
1, 29, 29, 2.586572
1, 29, 30, 2.586572
1, 29, 31, 2.586572
1, 29, 32, 2.586572
1, 30, 1, 3.445230
1, 30, 2, 2.844523
1, 30, 3, 2.565371
1, 30, 4, 2.600707
1, 30, 5, 2.544170
1, 30, 6, 2.544170
1, 30, 7, 2.597173
1, 30, 8, 2.544170
1, 30, 9, 2.583039
1, 30, 10, 2.636042
1, 30, 11, 2.586572
1, 30, 12, 2.586572
1, 30, 13, 2.636042
1, 30, 14, 2.586572
1, 30, 15, 2.586572
1, 30, 16, 2.639576
1, 30, 17, 2.586572
1, 30, 18, 2.586572
1, 30, 19, 2.636042
1, 30, 20, 2.586572
1, 30, 21, 2.586572
1, 30, 22, 2.636042
1, 30, 23, 2.586572
1, 30, 24, 2.586572
1, 30, 25, 2.586572
1, 30, 26, 2.586572
1, 30, 27, 2.586572
1, 30, 28, 2.586572
1, 30, 29, 2.586572
1, 30, 30, 2.586572
1, 30, 31, 2.586572
1, 30, 32, 2.586572
1, 31, 1, 2.586572
1, 31, 2, 2.844523
1, 31, 3, 2.565371
1, 31, 4, 2.600707
1, 31, 5, 2.544170
1, 31, 6, 2.544170
1, 31, 7, 2.597173
1, 31, 8, 2.544170
1, 31, 9, 2.583039
1, 31, 10, 2.636042
1, 31, 11, 2.586572
1, 31, 12, 2.586572
1, 31, 13, 2.636042
1, 31, 14, 2.586572
1, 31, 15, 2.586572
1, 31, 16, 2.639576
1, 31, 17, 2.586572
1, 31, 18, 2.586572
1, 31, 19, 2.636042
1, 31, 20, 2.586572
1, 31, 21, 2.586572
1, 31, 22, 2.636042
1, 31, 23, 2.586572
1, 31, 24, 2.586572
1, 31, 25, 2.586572
1, 31, 26, 2.586572
1, 31, 27, 2.586572
1, 31, 28, 2.586572
1, 31, 29, 2.586572
1, 31, 30, 2.586572
1, 31, 31, 2.586572
1, 31, 32, 2.586572
1, 32, 1, 3.445230
1, 32, 2, 2.844523
1, 32, 3, 2.565371
1, 32, 4, 2.600707
1, 32, 5, 2.544170
