N, ROB size, RS size, Cache Size, Memory Latency, Unrolls, Optimization Step, Cycles, Instructions, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
3, 16, 8, 64, 1000, 3, 4, 1645, 124, 0.529412, 0.272727, 1215, 4, 0
3, 16, 8, 64, 1000, 3, 5, 1645, 124, 0.529412, 0.272727, 1215, 4, 0
3, 16, 8, 64, 1000, 3, 6, 1645, 124, 0.529412, 0.272727, 1215, 4, 0
3, 16, 8, 64, 1000, 3, 7, 1636, 89, 0.493333, 0.272727, 1211, 6, 0
3, 16, 8, 64, 1000, 3, 8, 1636, 89, 0.493333, 0.272727, 1211, 6, 0
3, 16, 8, 64, 1000, 4, 1, 1644, 125, 0.500000, 0.272727, 1214, 4, 0
3, 16, 8, 64, 1000, 4, 2, 1644, 125, 0.500000, 0.272727, 1214, 4, 0
3, 16, 8, 64, 1000, 4, 3, 1644, 125, 0.500000, 0.272727, 1214, 4, 0
3, 16, 8, 64, 1000, 4, 4, 1644, 125, 0.500000, 0.272727, 1214, 4, 0
3, 16, 8, 64, 1000, 4, 5, 1644, 125, 0.500000, 0.272727, 1214, 4, 0
3, 16, 8, 64, 1000, 4, 6, 1644, 125, 0.500000, 0.272727, 1214, 4, 0
3, 16, 8, 64, 1000, 4, 7, 1635, 89, 0.455399, 0.272727, 1214, 12, 0
3, 16, 8, 64, 1000, 4, 8, 1635, 89, 0.455399, 0.272727, 1214, 12, 0
3, 16, 16, 16, 50, 1, 1, 258, 149, 0.540741, 0.111111, 144, 0, 0
3, 16, 16, 16, 50, 1, 2, 258, 149, 0.540741, 0.111111, 144, 0, 0
3, 16, 16, 16, 50, 1, 3, 258, 149, 0.540741, 0.111111, 144, 0, 0
3, 16, 16, 16, 50, 1, 4, 258, 149, 0.540741, 0.111111, 144, 0, 0
3, 16, 16, 16, 50, 1, 5, 258, 149, 0.540741, 0.111111, 144, 0, 0
3, 16, 16, 16, 50, 1, 6, 258, 149, 0.540741, 0.111111, 144, 0, 0
3, 16, 16, 16, 50, 1, 7, 258, 149, 0.540741, 0.111111, 144, 0, 0
3, 16, 16, 16, 50, 1, 8, 258, 149, 0.540741, 0.111111, 144, 0, 0
3, 16, 16, 16, 50, 2, 1, 258, 135, 0.510288, 0.111111, 153, 0, 0
3, 16, 16, 16, 50, 2, 2, 258, 135, 0.510288, 0.111111, 153, 0, 0
3, 16, 16, 16, 50, 2, 3, 258, 135, 0.510288, 0.111111, 153, 0, 0
3, 16, 16, 16, 50, 2, 4, 258, 135, 0.510288, 0.111111, 153, 0, 0
3, 16, 16, 16, 50, 2, 5, 258, 135, 0.510288, 0.111111, 153, 0, 0
3, 16, 16, 16, 50, 2, 6, 258, 135, 0.510288, 0.111111, 153, 0, 0
3, 16, 16, 16, 50, 2, 7, 247, 107, 0.462963, 0.111111, 151, 0, 0
3, 16, 16, 16, 50, 2, 8, 247, 107, 0.462963, 0.111111, 151, 0, 0
3, 16, 16, 16, 50, 3, 1, 259, 124, 0.412698, 0.238095, 146, 0, 0
3, 16, 16, 16, 50, 3, 2, 259, 124, 0.412698, 0.238095, 146, 0, 0
3, 16, 16, 16, 50, 3, 3, 259, 124, 0.412698, 0.238095, 146, 0, 0
3, 16, 16, 16, 50, 3, 4, 259, 124, 0.412698, 0.238095, 146, 0, 0
3, 16, 16, 16, 50, 3, 5, 259, 124, 0.412698, 0.238095, 146, 0, 0
3, 16, 16, 16, 50, 3, 6, 259, 124, 0.412698, 0.238095, 146, 0, 0
3, 16, 16, 16, 50, 3, 7, 250, 89, 0.413333, 0.238095, 149, 0, 0
3, 16, 16, 16, 50, 3, 8, 250, 89, 0.413333, 0.238095, 149, 0, 0
3, 16, 16, 16, 50, 4, 1, 266, 125, 0.279070, 0.200000, 146, 0, 0
3, 16, 16, 16, 50, 4, 2, 266, 125, 0.279070, 0.200000, 146, 0, 0
3, 16, 16, 16, 50, 4, 3, 266, 125, 0.279070, 0.200000, 146, 0, 0
3, 16, 16, 16, 50, 4, 4, 266, 125, 0.279070, 0.200000, 146, 0, 0
3, 16, 16, 16, 50, 4, 5, 266, 125, 0.279070, 0.200000, 146, 0, 0
3, 16, 16, 16, 50, 4, 6, 266, 125, 0.279070, 0.200000, 146, 0, 0
3, 16, 16, 16, 50, 4, 7, 249, 89, 0.356164, 0.238095, 149, 0, 0
3, 16, 16, 16, 50, 4, 8, 249, 89, 0.356164, 0.238095, 149, 0, 0
3, 16, 16, 16, 1000, 1, 1, 1798, 149, 0.540741, 0.111111, 1204, 0, 0
3, 16, 16, 16, 1000, 1, 2, 1798, 149, 0.540741, 0.111111, 1204, 0, 0
3, 16, 16, 16, 1000, 1, 3, 1798, 149, 0.540741, 0.111111, 1204, 0, 0
3, 16, 16, 16, 1000, 1, 4, 1798, 149, 0.540741, 0.111111, 1204, 0, 0
3, 16, 16, 16, 1000, 1, 5, 1798, 149, 0.540741, 0.111111, 1204, 0, 0
3, 16, 16, 16, 1000, 1, 6, 1798, 149, 0.540741, 0.111111, 1204, 0, 0
3, 16, 16, 16, 1000, 1, 7, 1798, 149, 0.540741, 0.111111, 1204, 0, 0
3, 16, 16, 16, 1000, 1, 8, 1798, 149, 0.540741, 0.111111, 1204, 0, 0
3, 16, 16, 16, 1000, 2, 1, 1734, 135, 0.504065, 0.111111, 1147, 0, 0
3, 16, 16, 16, 1000, 2, 2, 1734, 135, 0.504065, 0.111111, 1147, 0, 0
3, 16, 16, 16, 1000, 2, 3, 1734, 135, 0.504065, 0.111111, 1147, 0, 0
3, 16, 16, 16, 1000, 2, 4, 1734, 135, 0.504065, 0.111111, 1147, 0, 0
3, 16, 16, 16, 1000, 2, 5, 1734, 135, 0.504065, 0.111111, 1147, 0, 0
3, 16, 16, 16, 1000, 2, 6, 1734, 135, 0.504065, 0.111111, 1147, 0, 0
3, 16, 16, 16, 1000, 2, 7, 1723, 107, 0.445946, 0.111111, 1145, 0, 0
3, 16, 16, 16, 1000, 2, 8, 1723, 107, 0.445946, 0.111111, 1145, 0, 0
3, 16, 16, 16, 1000, 3, 1, 1816, 124, 0.412698, 0.238095, 1215, 0, 0
3, 16, 16, 16, 1000, 3, 2, 1816, 124, 0.412698, 0.238095, 1215, 0, 0
3, 16, 16, 16, 1000, 3, 3, 1816, 124, 0.412698, 0.238095, 1215, 0, 0
3, 16, 16, 16, 1000, 3, 4, 1816, 124, 0.412698, 0.238095, 1215, 0, 0
3, 16, 16, 16, 1000, 3, 5, 1816, 124, 0.412698, 0.238095, 1215, 0, 0
3, 16, 16, 16, 1000, 3, 6, 1816, 124, 0.412698, 0.238095, 1215, 0, 0
3, 16, 16, 16, 1000, 3, 7, 1726, 89, 0.436620, 0.238095, 1217, 0, 0
3, 16, 16, 16, 1000, 3, 8, 1726, 89, 0.436620, 0.238095, 1217, 0, 0
3, 16, 16, 16, 1000, 4, 1, 1824, 125, 0.293173, 0.200000, 1134, 0, 0
3, 16, 16, 16, 1000, 4, 2, 1824, 125, 0.293173, 0.200000, 1134, 0, 0
3, 16, 16, 16, 1000, 4, 3, 1824, 125, 0.293173, 0.200000, 1134, 0, 0
3, 16, 16, 16, 1000, 4, 4, 1824, 125, 0.293173, 0.200000, 1134, 0, 0
3, 16, 16, 16, 1000, 4, 5, 1824, 125, 0.293173, 0.200000, 1134, 0, 0
3, 16, 16, 16, 1000, 4, 6, 1824, 125, 0.293173, 0.200000, 1134, 0, 0
3, 16, 16, 16, 1000, 4, 7, 1725, 89, 0.382353, 0.238095, 1217, 0, 0
3, 16, 16, 16, 1000, 4, 8, 1725, 89, 0.382353, 0.238095, 1217, 0, 0
3, 16, 16, 64, 50, 1, 1, 250, 149, 0.666667, 0.157895, 144, 0, 0
3, 16, 16, 64, 50, 1, 2, 250, 149, 0.666667, 0.157895, 144, 0, 0
3, 16, 16, 64, 50, 1, 3, 250, 149, 0.666667, 0.157895, 144, 0, 0
3, 16, 16, 64, 50, 1, 4, 250, 149, 0.666667, 0.157895, 144, 0, 0
3, 16, 16, 64, 50, 1, 5, 250, 149, 0.666667, 0.157895, 144, 0, 0
3, 16, 16, 64, 50, 1, 6, 250, 149, 0.666667, 0.157895, 144, 0, 0
3, 16, 16, 64, 50, 1, 7, 250, 149, 0.666667, 0.157895, 144, 0, 0
3, 16, 16, 64, 50, 1, 8, 250, 149, 0.666667, 0.157895, 144, 0, 0
3, 16, 16, 64, 50, 2, 1, 250, 135, 0.646341, 0.157895, 154, 0, 0
3, 16, 16, 64, 50, 2, 2, 250, 135, 0.646341, 0.157895, 154, 0, 0
3, 16, 16, 64, 50, 2, 3, 250, 135, 0.646341, 0.157895, 154, 0, 0
3, 16, 16, 64, 50, 2, 4, 250, 135, 0.646341, 0.157895, 154, 0, 0
3, 16, 16, 64, 50, 2, 5, 250, 135, 0.646341, 0.157895, 154, 0, 0
3, 16, 16, 64, 50, 2, 6, 250, 135, 0.646341, 0.157895, 154, 0, 0
3, 16, 16, 64, 50, 2, 7, 239, 107, 0.616438, 0.157895, 151, 0, 0
3, 16, 16, 64, 50, 2, 8, 239, 107, 0.616438, 0.157895, 151, 0, 0
3, 16, 16, 64, 50, 3, 1, 251, 124, 0.523256, 0.272727, 147, 0, 0
3, 16, 16, 64, 50, 3, 2, 251, 124, 0.523256, 0.272727, 147, 0, 0
3, 16, 16, 64, 50, 3, 3, 251, 124, 0.523256, 0.272727, 147, 0, 0
3, 16, 16, 64, 50, 3, 4, 251, 124, 0.523256, 0.272727, 147, 0, 0
3, 16, 16, 64, 50, 3, 5, 251, 124, 0.523256, 0.272727, 147, 0, 0
3, 16, 16, 64, 50, 3, 6, 251, 124, 0.523256, 0.272727, 147, 0, 0
3, 16, 16, 64, 50, 3, 7, 242, 89, 0.480519, 0.272727, 148, 0, 0
3, 16, 16, 64, 50, 3, 8, 242, 89, 0.480519, 0.272727, 148, 0, 0
3, 16, 16, 64, 50, 4, 1, 250, 125, 0.492063, 0.272727, 148, 0, 0
3, 16, 16, 64, 50, 4, 2, 250, 125, 0.492063, 0.272727, 148, 0, 0
3, 16, 16, 64, 50, 4, 3, 250, 125, 0.492063, 0.272727, 148, 0, 0
3, 16, 16, 64, 50, 4, 4, 250, 125, 0.492063, 0.272727, 148, 0, 0
3, 16, 16, 64, 50, 4, 5, 250, 125, 0.492063, 0.272727, 148, 0, 0
3, 16, 16, 64, 50, 4, 6, 250, 125, 0.492063, 0.272727, 148, 0, 0
3, 16, 16, 64, 50, 4, 7, 241, 89, 0.442922, 0.272727, 152, 0, 0
3, 16, 16, 64, 50, 4, 8, 241, 89, 0.442922, 0.272727, 152, 0, 0
3, 16, 16, 64, 1000, 1, 1, 1644, 149, 0.666667, 0.157895, 1210, 0, 0
3, 16, 16, 64, 1000, 1, 2, 1644, 149, 0.666667, 0.157895, 1210, 0, 0
3, 16, 16, 64, 1000, 1, 3, 1644, 149, 0.666667, 0.157895, 1210, 0, 0
3, 16, 16, 64, 1000, 1, 4, 1644, 149, 0.666667, 0.157895, 1210, 0, 0
3, 16, 16, 64, 1000, 1, 5, 1644, 149, 0.666667, 0.157895, 1210, 0, 0
3, 16, 16, 64, 1000, 1, 6, 1644, 149, 0.666667, 0.157895, 1210, 0, 0
3, 16, 16, 64, 1000, 1, 7, 1644, 149, 0.666667, 0.157895, 1210, 0, 0
3, 16, 16, 64, 1000, 1, 8, 1644, 149, 0.666667, 0.157895, 1210, 0, 0
3, 16, 16, 64, 1000, 2, 1, 1644, 135, 0.638554, 0.157895, 1220, 0, 0
3, 16, 16, 64, 1000, 2, 2, 1644, 135, 0.638554, 0.157895, 1220, 0, 0
3, 16, 16, 64, 1000, 2, 3, 1644, 135, 0.638554, 0.157895, 1220, 0, 0
3, 16, 16, 64, 1000, 2, 4, 1644, 135, 0.638554, 0.157895, 1220, 0, 0
3, 16, 16, 64, 1000, 2, 5, 1644, 135, 0.638554, 0.157895, 1220, 0, 0
3, 16, 16, 64, 1000, 2, 6, 1644, 135, 0.638554, 0.157895, 1220, 0, 0
3, 16, 16, 64, 1000, 2, 7, 1633, 107, 0.600000, 0.157895, 1217, 0, 0
3, 16, 16, 64, 1000, 2, 8, 1633, 107, 0.600000, 0.157895, 1217, 0, 0
3, 16, 16, 64, 1000, 3, 1, 1645, 124, 0.529412, 0.272727, 1216, 0, 0
3, 16, 16, 64, 1000, 3, 2, 1645, 124, 0.529412, 0.272727, 1216, 0, 0
3, 16, 16, 64, 1000, 3, 3, 1645, 124, 0.529412, 0.272727, 1216, 0, 0
3, 16, 16, 64, 1000, 3, 4, 1645, 124, 0.529412, 0.272727, 1216, 0, 0
3, 16, 16, 64, 1000, 3, 5, 1645, 124, 0.529412, 0.272727, 1216, 0, 0
3, 16, 16, 64, 1000, 3, 6, 1645, 124, 0.529412, 0.272727, 1216, 0, 0
3, 16, 16, 64, 1000, 3, 7, 1636, 89, 0.493333, 0.272727, 1216, 0, 0
3, 16, 16, 64, 1000, 3, 8, 1636, 89, 0.493333, 0.272727, 1216, 0, 0
3, 16, 16, 64, 1000, 4, 1, 1644, 125, 0.500000, 0.272727, 1216, 0, 0
3, 16, 16, 64, 1000, 4, 2, 1644, 125, 0.500000, 0.272727, 1216, 0, 0
3, 16, 16, 64, 1000, 4, 3, 1644, 125, 0.500000, 0.272727, 1216, 0, 0
3, 16, 16, 64, 1000, 4, 4, 1644, 125, 0.500000, 0.272727, 1216, 0, 0
3, 16, 16, 64, 1000, 4, 5, 1644, 125, 0.500000, 0.272727, 1216, 0, 0
3, 16, 16, 64, 1000, 4, 6, 1644, 125, 0.500000, 0.272727, 1216, 0, 0
3, 16, 16, 64, 1000, 4, 7, 1635, 89, 0.455399, 0.272727, 1220, 0, 0
3, 16, 16, 64, 1000, 4, 8, 1635, 89, 0.455399, 0.272727, 1220, 0, 0
3, 32, 8, 16, 50, 1, 1, 258, 149, 0.569444, 0.111111, 129, 11, 0
3, 32, 8, 16, 50, 1, 2, 258, 149, 0.569444, 0.111111, 129, 11, 0
3, 32, 8, 16, 50, 1, 3, 258, 149, 0.569444, 0.111111, 131, 9, 0
3, 32, 8, 16, 50, 1, 4, 258, 149, 0.569444, 0.111111, 131, 9, 0
3, 32, 8, 16, 50, 1, 5, 258, 149, 0.569444, 0.111111, 131, 9, 0
3, 32, 8, 16, 50, 1, 6, 258, 149, 0.569444, 0.111111, 131, 9, 0
3, 32, 8, 16, 50, 1, 7, 258, 149, 0.569444, 0.111111, 131, 9, 0
3, 32, 8, 16, 50, 1, 8, 258, 149, 0.569444, 0.111111, 131, 9, 0
3, 32, 8, 16, 50, 2, 1, 258, 135, 0.493056, 0.111111, 120, 11, 0
3, 32, 8, 16, 50, 2, 2, 258, 135, 0.493056, 0.111111, 120, 11, 0
3, 32, 8, 16, 50, 2, 3, 258, 135, 0.493056, 0.111111, 122, 9, 0
3, 32, 8, 16, 50, 2, 4, 258, 135, 0.493056, 0.111111, 122, 9, 0
3, 32, 8, 16, 50, 2, 5, 258, 135, 0.493056, 0.111111, 122, 9, 0
3, 32, 8, 16, 50, 2, 6, 258, 135, 0.493056, 0.111111, 122, 9, 0
3, 32, 8, 16, 50, 2, 7, 247, 107, 0.446970, 0.111111, 111, 22, 0
3, 32, 8, 16, 50, 2, 8, 247, 107, 0.446970, 0.111111, 111, 22, 0
3, 32, 8, 16, 50, 3, 1, 265, 124, 0.323988, 0.238095, 104, 12, 0
3, 32, 8, 16, 50, 3, 2, 265, 124, 0.323988, 0.238095, 104, 12, 0
3, 32, 8, 16, 50, 3, 3, 265, 124, 0.323988, 0.238095, 104, 12, 0
3, 32, 8, 16, 50, 3, 4, 265, 124, 0.323988, 0.238095, 104, 12, 0
3, 32, 8, 16, 50, 3, 5, 265, 124, 0.323988, 0.238095, 104, 12, 0
3, 32, 8, 16, 50, 3, 6, 265, 124, 0.323988, 0.238095, 104, 12, 0
3, 32, 8, 16, 50, 3, 7, 256, 89, 0.284790, 0.238095, 52, 39, 24
3, 32, 8, 16, 50, 3, 8, 256, 89, 0.284790, 0.238095, 52, 39, 24
3, 32, 8, 16, 50, 4, 1, 264, 125, 0.245283, 0.238095, 98, 12, 0
3, 32, 8, 16, 50, 4, 2, 264, 125, 0.245283, 0.238095, 98, 12, 0
3, 32, 8, 16, 50, 4, 3, 264, 125, 0.245283, 0.238095, 103, 12, 0
3, 32, 8, 16, 50, 4, 4, 264, 125, 0.245283, 0.238095, 103, 12, 0
