PC=00000204, REG[14]=000002e4
PC=00000208, REG[13]=0000fad0
PC=0000020c, REG[12]=0000fb38
PC=00000210, ---
PC=000001d0, REG[15]=00000074
PC=000001d4, REG[10]=00000004
PC=000001d8, ---
PC=000001e4, REG[15]=00000005
PC=000001e8, ---
PC=000001ec, REG[15]=00000004
PC=000001f0, REG[10]=00000004
PC=000001f4, ---
PC=000001fc, REG[15]=00000005
PC=00000200, ---
PC=00000204, REG[14]=000002e5
PC=00000208, REG[13]=0000fad4
PC=0000020c, REG[12]=0000fb3c
PC=00000210, ---
PC=000001d0, REG[15]=00000072
PC=000001d4, REG[10]=00000005
PC=000001d8, ---
PC=000001dc, ---
PC=000001e0, ---
PC=00000204, REG[14]=000002e6
PC=00000208, REG[13]=0000fad8
PC=0000020c, REG[12]=0000fb40
PC=00000210, ---
PC=000001d0, REG[15]=0000006f
PC=000001d4, REG[10]=00000006
PC=000001d8, ---
PC=000001e4, REG[15]=00000007
PC=000001e8, ---
PC=000001ec, REG[15]=00000006
PC=000001f0, REG[10]=00000005
PC=000001f4, ---
PC=000001f8, REG[15]=00000005
PC=000001fc, REG[15]=00000006
PC=00000200, ---
PC=00000204, REG[14]=000002e7
PC=00000208, REG[13]=0000fadc
PC=0000020c, REG[12]=0000fb44
PC=00000210, ---
PC=000001d0, REG[15]=00000065
PC=000001d4, REG[10]=00000007
PC=000001d8, ---
PC=000001e4, REG[15]=00000008
PC=000001e8, ---
PC=000001ec, REG[15]=00000007
PC=000001f0, REG[10]=00000006
PC=000001f4, ---
PC=000001f8, REG[15]=00000006
PC=000001fc, REG[15]=00000007
PC=00000200, ---
PC=00000204, REG[14]=000002e8
PC=00000208, REG[13]=0000fae0
PC=0000020c, REG[12]=0000fb48
PC=00000210, ---
PC=000001d0, REG[15]=0000006e
PC=000001d4, REG[10]=00000008
PC=000001d8, ---
PC=000001e4, REG[15]=00000009
PC=000001e8, ---
PC=000001ec, REG[15]=00000008
PC=000001f0, REG[10]=00000007
PC=000001f4, ---
PC=000001f8, REG[15]=00000007
PC=000001fc, REG[15]=00000008
PC=00000200, ---
PC=00000204, REG[14]=000002e9
PC=00000208, REG[13]=0000fae4
PC=0000020c, REG[12]=0000fb4c
PC=00000210, ---
PC=000001d0, REG[15]=00000063
PC=000001d4, REG[10]=00000009
PC=000001d8, ---
PC=000001e4, REG[15]=0000000a
PC=000001e8, ---
PC=000001ec, REG[15]=00000009
PC=000001f0, REG[10]=00000008
PC=000001f4, ---
PC=000001f8, REG[15]=00000008
PC=000001fc, REG[15]=00000009
PC=00000200, ---
PC=00000204, REG[14]=000002ea
PC=00000208, REG[13]=0000fae8
PC=0000020c, REG[12]=0000fb50
PC=00000210, ---
PC=000001d0, REG[15]=00000065
PC=000001d4, REG[10]=0000000a
PC=000001d8, ---
PC=000001e4, REG[15]=0000000b
PC=000001e8, ---
PC=000001ec, REG[15]=0000000a
PC=000001f0, REG[10]=00000009
PC=000001f4, ---
PC=000001f8, REG[15]=00000009
PC=000001fc, REG[15]=0000000a
PC=00000200, ---
PC=00000204, REG[14]=000002eb
PC=00000208, REG[13]=0000faec
PC=0000020c, REG[12]=0000fb54
PC=00000210, ---
PC=000001d0, REG[15]=00000070
PC=000001d4, REG[10]=0000000b
PC=000001d8, ---
PC=000001e4, REG[15]=0000000c
PC=000001e8, ---
PC=000001ec, REG[15]=0000000b
PC=000001f0, REG[10]=0000000a
PC=000001f4, ---
PC=000001f8, REG[15]=0000000a
PC=000001fc, REG[15]=0000000b
PC=00000200, ---
PC=00000204, REG[14]=000002ec
PC=00000208, REG[13]=0000faf0
PC=0000020c, REG[12]=0000fb58
PC=00000210, ---
PC=000001d0, REG[15]=00000068
PC=000001d4, REG[10]=0000000c
PC=000001d8, ---
PC=000001e4, REG[15]=0000000d
PC=000001e8, ---
PC=000001ec, REG[15]=0000000c
PC=000001f0, REG[10]=0000000b
PC=000001f4, ---
PC=000001f8, REG[15]=0000000b
PC=000001fc, REG[15]=0000000c
PC=00000200, ---
PC=00000204, REG[14]=000002ed
PC=00000208, REG[13]=0000faf4
PC=0000020c, REG[12]=0000fb5c
PC=00000210, ---
PC=000001d0, REG[15]=00000061
PC=000001d4, REG[10]=0000000d
PC=000001d8, ---
PC=000001e4, REG[15]=0000000e
PC=000001e8, ---
PC=000001ec, REG[15]=0000000d
PC=000001f0, REG[10]=0000000c
PC=000001f4, ---
PC=000001f8, REG[15]=0000000c
PC=000001fc, REG[15]=0000000d
PC=00000200, ---
PC=00000204, REG[14]=000002ee
PC=00000208, REG[13]=0000faf8
PC=0000020c, REG[12]=0000fb60
PC=00000210, ---
PC=000001d0, REG[15]=0000006c
PC=000001d4, REG[10]=0000000e
PC=000001d8, ---
PC=000001e4, REG[15]=0000000f
PC=000001e8, ---
PC=000001ec, REG[15]=0000000e
PC=000001f0, REG[10]=0000000d
PC=000001f4, ---
PC=000001f8, REG[15]=0000000d
PC=000001fc, REG[15]=0000000e
PC=00000200, ---
PC=00000204, REG[14]=000002ef
PC=00000208, REG[13]=0000fafc
PC=0000020c, REG[12]=0000fb64
PC=00000210, ---
PC=000001d0, REG[15]=0000006f
PC=000001d4, REG[10]=0000000f
PC=000001d8, ---
PC=000001e4, REG[15]=00000010
PC=000001e8, ---
PC=000001ec, REG[15]=0000000f
PC=000001f0, REG[10]=0000000e
PC=000001f4, ---
PC=000001f8, REG[15]=0000000e
PC=000001fc, REG[15]=0000000f
PC=00000200, ---
PC=00000204, REG[14]=000002f0
PC=00000208, REG[13]=0000fb00
PC=0000020c, REG[12]=0000fb68
PC=00000210, ---
PC=000001d0, REG[15]=00000067
PC=000001d4, REG[10]=00000010
PC=000001d8, ---
PC=000001e4, REG[15]=00000011
PC=000001e8, ---
PC=000001ec, REG[15]=00000010
PC=000001f0, REG[10]=0000000f
PC=000001f4, ---
PC=000001f8, REG[15]=0000000f
PC=000001fc, REG[15]=00000010
PC=00000200, ---
PC=00000204, REG[14]=000002f1
PC=00000208, REG[13]=0000fb04
PC=0000020c, REG[12]=0000fb6c
PC=00000210, ---
PC=000001d0, REG[15]=00000072
PC=000001d4, REG[10]=00000011
PC=000001d8, ---
PC=000001dc, ---
PC=000001e0, ---
PC=00000204, REG[14]=000002f2
PC=00000208, REG[13]=0000fb08
PC=0000020c, REG[12]=0000fb70
PC=00000210, ---
PC=000001d0, REG[15]=00000061
PC=000001d4, REG[10]=00000012
PC=000001d8, ---
PC=000001e4, REG[15]=00000013
PC=000001e8, ---
PC=000001ec, REG[15]=00000012
PC=000001f0, REG[10]=00000011
PC=000001f4, ---
PC=000001f8, REG[15]=00000011
PC=000001fc, REG[15]=00000012
PC=00000200, ---
PC=00000204, REG[14]=000002f3
PC=00000208, REG[13]=0000fb0c
PC=0000020c, REG[12]=0000fb74
PC=00000210, ---
PC=000001d0, REG[15]=00000070
PC=000001d4, REG[10]=00000013
PC=000001d8, ---
PC=000001e4, REG[15]=00000014
PC=000001e8, ---
PC=000001ec, REG[15]=00000013
PC=000001f0, REG[10]=00000012
PC=000001f4, ---
PC=000001f8, REG[15]=00000012
PC=000001fc, REG[15]=00000013
PC=00000200, ---
PC=00000204, REG[14]=000002f4
PC=00000208, REG[13]=0000fb10
PC=0000020c, REG[12]=0000fb78
PC=00000210, ---
PC=000001d0, REG[15]=00000068
PC=000001d4, REG[10]=00000014
PC=000001d8, ---
PC=000001e4, REG[15]=00000015
PC=000001e8, ---
PC=000001ec, REG[15]=00000014
PC=000001f0, REG[10]=00000013
PC=000001f4, ---
PC=000001f8, REG[15]=00000013
PC=000001fc, REG[15]=00000014
PC=00000200, ---
PC=00000204, REG[14]=000002f5
PC=00000208, REG[13]=0000fb14
PC=0000020c, REG[12]=0000fb7c
PC=00000210, ---
PC=000001d0, REG[15]=00000069
PC=000001d4, REG[10]=00000015
PC=000001d8, ---
PC=000001e4, REG[15]=00000016
PC=000001e8, ---
PC=000001ec, REG[15]=00000015
PC=000001f0, REG[10]=00000014
PC=000001f4, ---
PC=000001f8, REG[15]=00000014
PC=000001fc, REG[15]=00000015
PC=00000200, ---
PC=00000204, REG[14]=000002f6
PC=00000208, REG[13]=0000fb18
PC=0000020c, REG[12]=0000fb80
PC=00000210, ---
PC=000001d0, REG[15]=00000065
PC=000001d4, REG[10]=00000016
PC=000001d8, ---
PC=000001e4, REG[15]=00000017
PC=000001e8, ---
PC=000001ec, REG[15]=00000016
PC=000001f0, REG[10]=00000015
PC=000001f4, ---
PC=000001f8, REG[15]=00000015
PC=000001fc, REG[15]=00000016
PC=00000200, ---
PC=00000204, REG[14]=000002f7
PC=00000208, REG[13]=0000fb1c
PC=0000020c, REG[12]=0000fb84
PC=00000210, ---
PC=000001d0, REG[15]=00000073
PC=000001d4, REG[10]=00000017
PC=000001d8, ---
PC=000001e4, REG[15]=00000018
PC=000001e8, ---
PC=000001ec, REG[15]=00000017
PC=000001f0, REG[10]=00000016
PC=000001f4, ---
PC=000001f8, REG[15]=00000016
