PC=00000108, ---
PC=0000010c, REG[17]=00000000
PC=00000110, ---
PC=00000114, REG[12]=00000000
PC=00000118, REG[12]=00000c10
PC=0000011c, ---
PC=00000120, ---
PC=00000124, ---
PC=00000128, ---
PC=00000210, REG[15]=00000c10
PC=00000214, ---
PC=00000218, REG[10]=00000c30
PC=0000021c, REG[13]=00000c10
PC=00000220, REG[14]=00000004
PC=00000224, ---
PC=00000228, REG[13]=00000004
PC=0000022c, ---
PC=00000298, REG[14]=00000c10
PC=0000029c, ---
PC=000002a0, ---
PC=00000244, ---
PC=00000248, REG[10]=00000c38
PC=0000024c, REG[ 1]=000009ec
PC=00000250, REG[ 8]=00004c2c
PC=00000254, REG[ 9]=00001000
PC=00000258, REG[18]=00004c90
PC=0000025c, REG[19]=00000000
PC=00000260, REG[20]=00000000
PC=00000264, REG[21]=00000000
PC=00000268, REG[ 2]=0000fff0
PC=0000026c, ---
PC=000009ec, REG[15]=00000042
PC=000009f0, ---
PC=000009f4, REG[15]=00000002
PC=000009f8, ---
PC=000009fc, REG[14]=00000008
PC=00000a00, REG[14]=00004c98
PC=00000a04, REG[15]=00000003
PC=00000a08, ---
PC=00000a0c, ---
PC=00000a10, REG[ 1]=fffffa10
PC=00000a14, REG[ 1]=00000a18
PC=0000017c, REG[ 2]=0000ffd0
PC=00000180, ---
PC=00000184, REG[18]=00001000
PC=00000188, REG[13]=00000c10
PC=0000018c, ---
PC=00000190, ---
PC=00000194, ---
PC=00000198, ---
PC=0000019c, ---
PC=000001a0, ---
PC=000001a4, ---
PC=000001a8, REG[10]=00000c10
PC=000001ac, REG[15]=00000003
PC=000001b0, REG[14]=00000000
PC=000001b4, ---
PC=000001b8, REG[ 9]=00001000
PC=000001bc, REG[20]=0000000b
PC=000001c0, REG[19]=00001000
PC=000001c4, REG[21]=00000004
PC=000001c8, REG[ 8]=00000003
PC=000001cc, ---
PC=000001dc, REG[15]=00000c10
PC=000001e0, ---
PC=000001e4, REG[15]=00003fdc
PC=000001e8, REG[14]=00003fd0
PC=000001ec, ---
PC=000001f0, REG[10]=00000c3c
PC=000001f4, ---
PC=000001f8, REG[15]=00000c48
PC=000001fc, ---
PC=00000200, REG[10]=00000c44
PC=00000204, ---
PC=00000208, REG[ 1]=00000208
PC=0000020c, REG[ 1]=00000210
PC=000000b4, REG[15]=00001000
PC=000000b8, REG[15]=00000c18
PC=000000bc, ---
PC=000000c0, REG[15]=00005000
PC=000000c4, REG[15]=00004c18
PC=000000c8, ---
PC=000000cc, REG[16]=00001000
PC=000000d0, REG[15]=00000c10
PC=000000d4, REG[13]=00000c3c
PC=000000d8, REG[14]=00000c10
PC=000000dc, ---
PC=000000e0, ---
PC=000000e4, ---
PC=000000fc, REG[11]=00000004
PC=00000100, REG[12]=00000020
PC=00000104, REG[12]=00000c5c
PC=00000108, ---
PC=0000010c, REG[17]=00000000
PC=00000110, ---
PC=00000114, REG[12]=00000000
PC=00000118, REG[12]=00000c10
PC=0000011c, ---
PC=00000120, ---
PC=00000124, ---
PC=00000128, ---
PC=00000210, REG[15]=00000c10
PC=00000214, ---
PC=00000218, REG[10]=00000c3c
PC=0000021c, REG[13]=00000c10
PC=00000220, REG[14]=00000004
PC=00000224, ---
PC=00000228, REG[13]=00000004
PC=0000022c, ---
PC=00000298, REG[14]=00000c10
PC=0000029c, ---
PC=000002a0, ---
PC=00000244, ---
PC=00000248, REG[10]=00000c44
PC=0000024c, REG[ 1]=00000a18
PC=00000250, REG[ 8]=00004c2c
PC=00000254, REG[ 9]=00001000
PC=00000258, REG[18]=00004c90
PC=0000025c, REG[19]=00000000
PC=00000260, REG[20]=00000000
PC=00000264, REG[21]=00000000
PC=00000268, REG[ 2]=0000fff0
PC=0000026c, ---
PC=00000a18, REG[15]=00000043
PC=00000a1c, ---
PC=00000a20, REG[15]=00000003
PC=00000a24, ---
PC=00000a28, REG[14]=0000000c
PC=00000a2c, REG[14]=00004c9c
PC=00000a30, REG[15]=00000004
PC=00000a34, ---
PC=00000a38, ---
PC=00000a3c, REG[ 1]=fffffa3c
PC=00000a40, REG[ 1]=00000a44
PC=0000017c, REG[ 2]=0000ffd0
PC=00000180, ---
PC=00000184, REG[18]=00001000
PC=00000188, REG[13]=00000c10
PC=0000018c, ---
PC=00000190, ---
PC=00000194, ---
PC=00000198, ---
PC=0000019c, ---
PC=000001a0, ---
PC=000001a4, ---
PC=000001a8, REG[10]=00000c10
PC=000001ac, REG[15]=00000003
PC=000001b0, REG[14]=00000000
PC=000001b4, ---
PC=000001b8, REG[ 9]=00001000
PC=000001bc, REG[20]=0000000b
PC=000001c0, REG[19]=00001000
PC=000001c4, REG[21]=00000004
PC=000001c8, REG[ 8]=00000003
PC=000001cc, ---
PC=000001dc, REG[15]=00000c10
PC=000001e0, ---
PC=000001e4, REG[15]=00003fd0
PC=000001e8, REG[14]=00003fc4
PC=000001ec, ---
PC=000001f0, REG[10]=00000c48
PC=000001f4, ---
PC=000001f8, REG[15]=00000c54
PC=000001fc, ---
PC=00000200, REG[10]=00000c50
PC=00000204, ---
PC=00000208, REG[ 1]=00000208
PC=0000020c, REG[ 1]=00000210
PC=000000b4, REG[15]=00001000
PC=000000b8, REG[15]=00000c18
PC=000000bc, ---
PC=000000c0, REG[15]=00005000
PC=000000c4, REG[15]=00004c18
PC=000000c8, ---
PC=000000cc, REG[16]=00001000
PC=000000d0, REG[15]=00000c10
PC=000000d4, REG[13]=00000c48
PC=000000d8, REG[14]=00000c10
PC=000000dc, ---
PC=000000e0, ---
PC=000000e4, ---
PC=000000fc, REG[11]=00000004
PC=00000100, REG[12]=00000020
PC=00000104, REG[12]=00000c68
PC=00000108, ---
PC=0000010c, REG[17]=00000000
PC=00000110, ---
PC=00000114, REG[12]=00000000
PC=00000118, REG[12]=00000c10
PC=0000011c, ---
PC=00000120, ---
PC=00000124, ---
PC=00000128, ---
PC=00000210, REG[15]=00000c10
PC=00000214, ---
PC=00000218, REG[10]=00000c48
PC=0000021c, REG[13]=00000c10
PC=00000220, REG[14]=00000004
PC=00000224, ---
PC=00000228, REG[13]=00000004
PC=0000022c, ---
PC=00000298, REG[14]=00000c10
PC=0000029c, ---
PC=000002a0, ---
PC=00000244, ---
PC=00000248, REG[10]=00000c50
PC=0000024c, REG[ 1]=00000a44
PC=00000250, REG[ 8]=00004c2c
PC=00000254, REG[ 9]=00001000
PC=00000258, REG[18]=00004c90
PC=0000025c, REG[19]=00000000
PC=00000260, REG[20]=00000000
PC=00000264, REG[21]=00000000
PC=00000268, REG[ 2]=0000fff0
PC=0000026c, ---
PC=00000a44, REG[15]=00000044
PC=00000a48, ---
PC=00000a4c, REG[14]=00000004
PC=00000a50, REG[15]=00000001
PC=00000a54, ---
PC=00000a58, REG[13]=00000010
PC=00000a5c, REG[18]=00004ca0
PC=00000a60, REG[14]=00000005
PC=00000a64, ---
PC=00000a68, ---
PC=00000a6c, ---
PC=00000a70, ---
PC=00000a74, ---
PC=00000a78, ---
PC=00000a7c, ---
PC=00000a80, ---
PC=00000a84, ---
PC=00000a88, ---
PC=00000a8c, ---
PC=00000a90, ---
PC=00000a94, ---
PC=00000a98, ---
PC=00000a9c, REG[ 1]=00000a9c
PC=00000aa0, REG[ 1]=00000aa4
PC=000006b0, REG[ 2]=0000ffc0
PC=000006b4, ---
PC=000006b8, REG[26]=00001000
PC=000006bc, REG[ 6]=ffffffff
PC=000006c0, ---
PC=000006c4, REG[23]=00005000
PC=000006c8, ---
PC=000006cc, REG[23]=00004c90
PC=000006d0, REG[27]=00001000
PC=000006d4, REG[10]=00000000
PC=000006d8, ---
PC=000006dc, REG[ 8]=00000c20
PC=000006e0, ---
PC=000006e4, REG[ 6]=00000000
PC=000006e8, REG[22]=00005000
PC=000006ec, ---
PC=000006f0, ---
PC=000006f4, ---
PC=000006f8, ---
PC=000006fc, ---
PC=00000700, ---
PC=00000704, ---
PC=00000708, REG[22]=00004c18
PC=0000070c, REG[15]=00000000
PC=00000710, REG[14]=00000001
PC=00000714, ---
PC=00000718, REG[15]=00004c18
PC=0000071c, REG[10]=00000001
PC=00000720, ---
PC=00000724, ---
PC=00000728, REG[15]=00001000
PC=0000072c, ---
PC=00000730, REG[13]=00000005
PC=00000734, ---
PC=00000738, REG[15]=00001000
PC=0000073c, REG[ 7]=00000000
PC=00000740, REG[18]=00000c2c
PC=00000744, REG[19]=00000c38
PC=00000748, REG[20]=00000c44
PC=0000074c, REG[21]=00000c50
PC=00000750, REG[ 9]=00000000
PC=00000754, REG[24]=00005000
PC=00000758, REG[ 7]=00000001
PC=0000075c, REG[ 9]=00004c18
PC=00000760, REG[28]=00000000
PC=00000764, REG[24]=00004c2c
PC=00000768, REG[15]=00000001
PC=0000076c, REG[29]=00000002
PC=00000770, REG[30]=00000003
PC=00000774, REG[31]=00000004
PC=00000778, REG[12]=00000000
PC=0000077c, REG[11]=00000001
PC=00000780, REG[11]=00000004
PC=00000784, REG[14]=00000000
PC=00000788, REG[14]=00000000
PC=0000078c, REG[16]=00000000
PC=00000790, REG[14]=00000000
PC=00000794, REG[12]=00000000
PC=00000798, REG[25]=00000001
PC=0000079c, REG[11]=00004c1c
PC=000007a0, REG[16]=00000000
PC=000007a4, REG[14]=00004c2c
PC=000007a8, REG[10]=00000000
PC=000007ac, REG[ 6]=00000000
PC=000007b0, ---
PC=000007b4, REG[17]=00000000
PC=000007b8, ---
PC=000007bc, ---
PC=000007c0, REG[17]=00000001
PC=000007c4, ---
PC=000008b4, REG[ 5]=00000000
PC=000008b8, ---
PC=000008bc, REG[10]=00000c2c
PC=000008c0, ---
PC=0000089c, ---
PC=000008a0, ---
PC=000008a4, REG[12]=00000001
PC=000008a8, REG[11]=00004c20
PC=000008ac, REG[28]=00000001
PC=000008b0, ---
PC=000007a8, REG[10]=00000001
PC=000007ac, REG[ 6]=00000001
PC=000007b0, ---
PC=000007b4, REG[17]=00000000
PC=000007b8, ---
PC=000007bc, ---
PC=000007c0, REG[17]=00000001
PC=000007c4, ---
PC=000008b4, REG[ 5]=00000001
PC=000008b8, ---
PC=000007c8, ---
PC=000007cc, REG[17]=00000001
PC=000007d0, ---
PC=000008c4, REG[17]=00000000
PC=000008c8, ---
PC=000008cc, REG[10]=00000c38
PC=000008d0, REG[17]=00000002
PC=000008d4, ---
PC=0000089c, ---
PC=000008a0, ---
PC=000008a4, REG[12]=00000002
PC=000008a8, REG[11]=00004c24
PC=000008ac, REG[28]=00000001
PC=000008b0, ---
PC=000007a8, REG[10]=00000002
PC=000007ac, REG[ 6]=00000002
PC=000007b0, ---
PC=000007b4, REG[17]=00000000
PC=000007b8, ---
PC=000007bc, ---
PC=000007c0, REG[17]=00000001
PC=000007c4, ---
PC=000008b4, REG[ 5]=00000001
PC=000008b8, ---
PC=000007c8, ---
PC=000007cc, REG[17]=00000001
PC=000007d0, ---
PC=000008c4, REG[17]=00000001
PC=000008c8, ---
PC=000007d4, ---
PC=000007d8, REG[17]=00000001
PC=000007dc, ---
PC=000008d8, REG[17]=00000000
PC=000008dc, ---
PC=000008e0, REG[10]=00000c44
PC=000008e4, REG[17]=00000003
PC=000008e8, ---
PC=0000089c, ---
PC=000008a0, ---
PC=000008a4, REG[12]=00000003
