PC=000005f0, REG[12]=00000078
PC=000005f4, ---
PC=000005e0, REG[12]=00000067
PC=000005e4, REG[15]=00670000
PC=000005e8, REG[15]=00000067
PC=000005ec, REG[12]=00670000
PC=000005f0, REG[12]=00000067
PC=000005f4, ---
PC=000005e0, REG[12]=00000056
PC=000005e4, REG[15]=00560000
PC=000005e8, REG[15]=00000056
PC=000005ec, REG[12]=00560000
PC=000005f0, REG[12]=00000056
PC=000005f4, ---
PC=000005e0, REG[12]=00000045
PC=000005e4, REG[15]=00450000
PC=000005e8, REG[15]=00000045
PC=000005ec, REG[12]=00450000
PC=000005f0, REG[12]=00000045
PC=000005f4, ---
PC=000005e0, REG[12]=00000034
PC=000005e4, REG[15]=00340000
PC=000005e8, REG[15]=00000034
PC=000005ec, REG[12]=00340000
PC=000005f0, REG[12]=00000034
PC=000005f4, ---
PC=000005e0, REG[12]=00000023
PC=000005e4, REG[15]=00230000
PC=000005e8, REG[15]=00000023
PC=000005ec, REG[12]=00230000
PC=000005f0, REG[12]=00000023
PC=000005f4, ---
PC=000005e0, REG[12]=00000012
PC=000005e4, REG[15]=00120000
PC=000005e8, REG[15]=00000012
PC=000005ec, REG[12]=00120000
PC=000005f0, REG[12]=00000012
PC=000005f4, ---
PC=000005e0, REG[12]=00000001
PC=000005e4, REG[15]=00010000
PC=000005e8, REG[15]=00000001
PC=000005ec, REG[12]=00010000
PC=000005f0, REG[12]=00000001
PC=000005f4, ---
PC=000005f8, REG[18]=0000ff00
PC=000005fc, REG[11]=00000001
PC=00000600, REG[10]=0000ff00
PC=00000604, REG[ 1]=00000604
PC=00000608, REG[ 1]=0000060c
PC=00000374, REG[15]=00000001
PC=00000378, ---
PC=000005d0, ---
PC=0000060c, REG[14]=00000010
PC=00000610, REG[ 8]=000000ef
PC=00000614, REG[15]=00ef0000
PC=00000618, REG[15]=000000ef
PC=0000061c, REG[ 8]=00ef0000
PC=00000620, REG[ 8]=000000ef
PC=00000624, ---
PC=00000610, REG[ 8]=000000de
PC=00000614, REG[15]=00de0000
PC=00000618, REG[15]=000000de
PC=0000061c, REG[ 8]=00de0000
PC=00000620, REG[ 8]=000000de
PC=00000624, ---
PC=00000610, REG[ 8]=000000cd
PC=00000614, REG[15]=00cd0000
PC=00000618, REG[15]=000000cd
PC=0000061c, REG[ 8]=00cd0000
PC=00000620, REG[ 8]=000000cd
PC=00000624, ---
PC=00000610, REG[ 8]=000000bc
PC=00000614, REG[15]=00bc0000
PC=00000618, REG[15]=000000bc
PC=0000061c, REG[ 8]=00bc0000
PC=00000620, REG[ 8]=000000bc
PC=00000624, ---
PC=00000610, REG[ 8]=000000ab
PC=00000614, REG[15]=00ab0000
PC=00000618, REG[15]=000000ab
PC=0000061c, REG[ 8]=00ab0000
PC=00000620, REG[ 8]=000000ab
PC=00000624, ---
PC=00000610, REG[ 8]=0000009a
PC=00000614, REG[15]=009a0000
PC=00000618, REG[15]=0000009a
PC=0000061c, REG[ 8]=009a0000
PC=00000620, REG[ 8]=0000009a
PC=00000624, ---
PC=00000610, REG[ 8]=00000089
PC=00000614, REG[15]=00890000
PC=00000618, REG[15]=00000089
PC=0000061c, REG[ 8]=00890000
PC=00000620, REG[ 8]=00000089
PC=00000624, ---
PC=00000610, REG[ 8]=00000078
PC=00000614, REG[15]=00780000
PC=00000618, REG[15]=00000078
PC=0000061c, REG[ 8]=00780000
PC=00000620, REG[ 8]=00000078
PC=00000624, ---
PC=00000610, REG[ 8]=00000067
PC=00000614, REG[15]=00670000
PC=00000618, REG[15]=00000067
PC=0000061c, REG[ 8]=00670000
PC=00000620, REG[ 8]=00000067
PC=00000624, ---
PC=00000610, REG[ 8]=00000056
PC=00000614, REG[15]=00560000
PC=00000618, REG[15]=00000056
PC=0000061c, REG[ 8]=00560000
PC=00000620, REG[ 8]=00000056
PC=00000624, ---
PC=00000610, REG[ 8]=00000045
PC=00000614, REG[15]=00450000
PC=00000618, REG[15]=00000045
PC=0000061c, REG[ 8]=00450000
PC=00000620, REG[ 8]=00000045
PC=00000624, ---
PC=00000610, REG[ 8]=00000034
PC=00000614, REG[15]=00340000
PC=00000618, REG[15]=00000034
PC=0000061c, REG[ 8]=00340000
PC=00000620, REG[ 8]=00000034
PC=00000624, ---
PC=00000610, REG[ 8]=00000023
PC=00000614, REG[15]=00230000
PC=00000618, REG[15]=00000023
PC=0000061c, REG[ 8]=00230000
