PC=00000394, ---
PC=000002a0, REG[15]=00000010
PC=000002a4, REG[13]=0000f7cc
PC=000002a8, REG[14]=0000f3cc
PC=000002ac, REG[10]=000059d8
PC=000002b0, ---
PC=000002b4, ---
PC=000002b8, REG[27]=00000004
PC=000002bc, REG[ 9]=00000010
PC=000002c0, ---
PC=00000284, REG[ 1]=00000284
PC=00000288, REG[ 1]=0000028c
PC=00000340, REG[15]=00001000
PC=00000344, REG[16]=00000400
PC=00000348, REG[11]=4c958000
PC=0000034c, REG[11]=4c957f2d
PC=00000350, REG[13]=12b031f9
PC=00000354, REG[14]=502959d8
PC=00000358, REG[15]=b3b04fc5
PC=0000035c, REG[12]=b3b04fc6
PC=00000360, REG[15]=00000000
PC=00000364, ---
PC=00000368, REG[12]=5851f000
PC=0000036c, REG[12]=5851f42d
PC=00000370, REG[12]=a0631cc5
PC=00000374, REG[14]=058ef2f8
PC=00000378, REG[13]=059738ab
PC=0000037c, REG[14]=a5f20fbd
PC=00000380, REG[14]=ab894868
PC=00000384, REG[15]=ab894868
PC=00000388, REG[10]=571290d0
PC=0000038c, ---
PC=00000390, REG[10]=2b894868
PC=00000394, ---
PC=0000028c, REG[15]=0000fbd0
PC=00000290, REG[10]=00004868
PC=00000294, ---
PC=00000298, REG[ 1]=00000298
PC=0000029c, REG[ 1]=000002a0
PC=00000340, REG[15]=00001000
PC=00000344, REG[16]=00000400
PC=00000348, REG[11]=4c958000
PC=0000034c, REG[11]=4c957f2d
PC=00000350, REG[13]=b3b04fc6
PC=00000354, REG[14]=ab894868
PC=00000358, REG[15]=43cf3fce
PC=0000035c, REG[12]=43cf3fcf
PC=00000360, REG[15]=00000000
PC=00000364, ---
PC=00000368, REG[12]=5851f000
PC=0000036c, REG[12]=5851f42d
PC=00000370, REG[12]=efacbdce
PC=00000374, REG[14]=46955248
PC=00000378, REG[13]=35c14691
PC=0000037c, REG[14]=36421016
PC=00000380, REG[14]=6c0356a7
PC=00000384, REG[15]=6c0356a7
PC=00000388, REG[10]=d806ad4e
PC=0000038c, ---
PC=00000390, REG[10]=6c0356a7
PC=00000394, ---
PC=000002a0, REG[15]=00000010
PC=000002a4, REG[13]=0000f7d0
PC=000002a8, REG[14]=0000f3d0
PC=000002ac, REG[10]=000056a7
PC=000002b0, ---
PC=000002b4, ---
PC=000002b8, REG[27]=00000005
PC=000002bc, REG[ 9]=00000014
PC=000002c0, ---
PC=00000284, REG[ 1]=00000284
PC=00000288, REG[ 1]=0000028c
PC=00000340, REG[15]=00001000
PC=00000344, REG[16]=00000400
PC=00000348, REG[11]=4c958000
PC=0000034c, REG[11]=4c957f2d
PC=00000350, REG[13]=43cf3fcf
PC=00000354, REG[14]=6c0356a7
PC=00000358, REG[15]=5390e863
PC=0000035c, REG[12]=5390e864
PC=00000360, REG[15]=00000000
PC=00000364, ---
PC=00000368, REG[12]=5851f000
PC=0000036c, REG[12]=5851f42d
PC=00000370, REG[12]=ccbe8363
PC=00000374, REG[14]=a7c6145b
PC=00000378, REG[13]=14492041
PC=0000037c, REG[14]=748497be
PC=00000380, REG[14]=88cdb7ff
PC=00000384, REG[15]=88cdb7ff
PC=00000388, REG[10]=119b6ffe
PC=0000038c, ---
PC=00000390, REG[10]=08cdb7ff
PC=00000394, ---
PC=0000028c, REG[15]=0000fbd4
PC=00000290, REG[10]=0000b7ff
PC=00000294, ---
PC=00000298, REG[ 1]=00000298
PC=0000029c, REG[ 1]=000002a0
PC=00000340, REG[15]=00001000
PC=00000344, REG[16]=00000400
PC=00000348, REG[11]=4c958000
PC=0000034c, REG[11]=4c957f2d
PC=00000350, REG[13]=5390e864
PC=00000354, REG[14]=88cdb7ff
PC=00000358, REG[15]=85f67594
PC=0000035c, REG[12]=85f67595
PC=00000360, REG[15]=00000000
PC=00000364, ---
PC=00000368, REG[12]=5851f000
PC=0000036c, REG[12]=5851f42d
PC=00000370, REG[12]=b59c2994
PC=00000374, REG[14]=e5dbd8d3
PC=00000378, REG[13]=18ffd1d8
PC=0000037c, REG[14]=9b780267
PC=00000380, REG[14]=b477d43f
PC=00000384, REG[15]=b477d43f
PC=00000388, REG[10]=68efa87e
PC=0000038c, ---
PC=00000390, REG[10]=3477d43f
PC=00000394, ---
PC=000002a0, REG[15]=00000010
PC=000002a4, REG[13]=0000f7d4
PC=000002a8, REG[14]=0000f3d4
PC=000002ac, REG[10]=0000d43f
PC=000002b0, ---
PC=000002b4, ---
PC=000002b8, REG[27]=00000006
PC=000002bc, REG[ 9]=00000018
PC=000002c0, ---
PC=00000284, REG[ 1]=00000284
PC=00000288, REG[ 1]=0000028c
PC=00000340, REG[15]=00001000
PC=00000344, REG[16]=00000400
PC=00000348, REG[11]=4c958000
PC=0000034c, REG[11]=4c957f2d
PC=00000350, REG[13]=85f67595
PC=00000354, REG[14]=b477d43f
PC=00000358, REG[15]=7c609631
PC=0000035c, REG[12]=7c609632
PC=00000360, REG[15]=00000000
PC=00000364, ---
PC=00000368, REG[12]=5851f000
PC=0000036c, REG[12]=5851f42d
PC=00000370, REG[12]=e089af31
PC=00000374, REG[14]=68069013
PC=00000378, REG[13]=281365e7
PC=0000037c, REG[14]=48903f44
PC=00000380, REG[14]=70a3a52b
PC=00000384, REG[15]=70a3a52b
PC=00000388, REG[10]=e1474a56
PC=0000038c, ---
PC=00000390, REG[10]=70a3a52b
PC=00000394, ---
PC=0000028c, REG[15]=0000fbd8
PC=00000290, REG[10]=0000a52b
PC=00000294, ---
PC=00000298, REG[ 1]=00000298
PC=0000029c, REG[ 1]=000002a0
PC=00000340, REG[15]=00001000
PC=00000344, REG[16]=00000400
PC=00000348, REG[11]=4c958000
PC=0000034c, REG[11]=4c957f2d
PC=00000350, REG[13]=7c609632
PC=00000354, REG[14]=70a3a52b
PC=00000358, REG[15]=0a9734ca
PC=0000035c, REG[12]=0a9734cb
PC=00000360, REG[15]=00000000
PC=00000364, ---
PC=00000368, REG[12]=5851f000
PC=0000036c, REG[12]=5851f42d
PC=00000370, REG[12]=a1f40eca
PC=00000374, REG[14]=e1bb5d8f
PC=00000378, REG[13]=25354e98
PC=0000037c, REG[14]=83af6c59
PC=00000380, REG[14]=a8e4baf1
PC=00000384, REG[15]=a8e4baf1
PC=00000388, REG[10]=51c975e2
PC=0000038c, ---
PC=00000390, REG[10]=28e4baf1
PC=00000394, ---
