PC=00000104, REG[12]=000006c0
PC=00000108, ---
PC=0000010c, REG[17]=0000000c
PC=00000110, ---
PC=00000114, REG[12]=00000060
PC=00000118, REG[12]=000006ac
PC=0000011c, ---
PC=00000120, ---
PC=00000124, ---
PC=00000128, ---
PC=000004d0, REG[10]=0000067c
PC=000004d4, ---
PC=000004c0, REG[15]=00000000
PC=000004c4, ---
PC=000004c8, REG[ 1]=000004c8
PC=000004cc, REG[ 1]=000004d0
PC=000000b4, REG[15]=00000000
PC=000000b8, REG[15]=0000064c
PC=000000bc, ---
PC=000000c0, REG[15]=00004000
PC=000000c4, REG[15]=0000464c
PC=000000c8, ---
PC=000000cc, REG[16]=00000000
PC=000000d0, REG[15]=0000064c
PC=000000d4, REG[13]=00000674
PC=000000d8, REG[14]=00000660
PC=000000dc, ---
PC=000000e0, ---
PC=000000e4, ---
PC=000000e8, REG[15]=00000660
PC=000000ec, REG[14]=00000688
PC=000000f0, ---
PC=000000e0, ---
PC=000000fc, REG[11]=0000000c
PC=00000100, REG[12]=00000060
PC=00000104, REG[12]=000006d4
PC=00000108, ---
PC=0000010c, REG[17]=0000000c
PC=00000110, ---
PC=00000114, REG[12]=00000060
PC=00000118, REG[12]=000006c0
PC=0000011c, ---
PC=00000120, ---
PC=00000124, ---
PC=00000128, ---
PC=000004d0, REG[10]=00000000
PC=000004d4, ---
PC=000004d8, REG[ 1]=000000a0
PC=000004dc, REG[10]=00000000
PC=000004e0, REG[ 2]=00010000
PC=000004e4, ---
PC=000000a0, REG[ 2]=000100a0
PC=000000a4, REG[ 2]=00010000
PC=000000a8, ---
PC=000000ac, ---
PC=000000b0, ---
